Sr.No,River,Site/ Locations,Distt.,Annual Flows in Cumecs - 2014-15,Annual Flows in Cumecs - 2013-14,Annual Flows in Cumecs - 2012-13,Annual Flows in Cumecs - 2011-12,Annual Flows in Cumecs - 2010-11,Annual Flows in Cumecs - 2009-10,Annual Flows in Cumecs - 2008-09,Annual Flows in Cumecs - 2007-08,Annual Flows in Cumecs - 2006-07,Annual Flows in Cumecs - 2005-06
1,Ganga,Farakka,Murshidabad,7084.21,15491.81,7828.91,11258.5,8078.18,6328.43,10570.9,10068.24,7408.24,7975.84
2,Brahmaputra,Pandu,Kamrup,7623.07,11156.83,14302.68,14568.45,16182.75,14562.78,16322.02,14571.38,12317.69,13806.62
3,Barak,A.P. Ghat,Cachar,1035.3,587.65,349.15,609.72,1437.88,837.41,599.85,866.44,561.69,667.77
4,Godavari,Polavaram,West Godavari,1846.16,4752.46,2907.73,1765.13,3715.47,915.51,1856.07,2967.63,4181.52,3380.36
5,Krishna,Vijaywada,Krishna,75.25,357.12,54.38,231.67,438.39,460.11,309.39,832.76,847.95,1142.62
6,Cauvery,Musiri,Tiruchirapalli,153.9,184.87,22.18,263.34,182.49,202.33,297.46,387.32,285.7,398.2
7,Brahmani,Jenapur,Jajpur,503.65,502.75,444.88,692.76,171.39,346.89,630.24,712.65,469.56,524.66
8,Baitarni,Anandpur,Keonjhar,135.53,205,95.91,221.63,41.45,88.03,166.56,271.98,173.56,167.69
9,Mahanadi,Tikarapara,Angul,2170.03,1742.53,1534.9,1430.21,1246.06,1380.23,1641.85,1878.39,1969.63,1484.53
10,Pennar,Chenuur,Cuddapha,86.69,107.85,20.67,77.63,139.55,102.36,70.11,152.33,60.2,109.43
11,Sabarmati,Kheroj,Sabarkantha,5.26,4.79,7.52,20.93,14.64,3.85,4.07,19.14,35.59,14.84
12,Narmada,Garudeshwar,Narmada,300.76,1688.92,727.79,674.05,260.4,210.78,142.45,582.75,1031.34,814.17
13,Tapi,Sarangkheda,Nandurbar,1189.15,1059.79,1301.23,196.14,222.01,97.37,586.06,605.99,963.74,272.75
14,Yamuna,Agra,Agra,85.71,260.88,158.98,258.32,695.22,61.4,230.18,51.24,74.2,135.64
15,Ghagra,Ayodhya,Faizabad,1964.75,2282.54,1966.65,2679.9,2454.2,2212.06,2962.14,2746.75,1481.7,1621.25
16,Chambal,Dholpur,Dholpur,527.85,1361.7,375.64,935.29,121,146.11,409.55,378.95,1119.97,295.18
17,Kosi,Baltara,Khagaria,1695.79,1398.12,1888.99,2376.35,2811.96,2324.8,2479.29,2377.24,1801.41,1752.85
18,Gandak,Lalganj,Vaishali,1462.94,2299.58,1738.92,2159.97,1638.73,1178.61,2057.27,1628.92,1123.92,1170.42
19,Sone,Koelwar,Arrah,124.1,325.17,302.8,482.25,89.26,122.52,242.34,143.86,343.25,397.19
20,Ramganga,Dabri,Farukhabad,136.79,247.17,120.14,539.24,480.94,194.85,350.61,190.29,102.42,304.7
21,Bhagirathi,Berhampore,Murshidabad,1190.93,1185.26,1096.2,1082.39,1128.22,1122.58,1133.82,1133.27,1128.23,1155.77
22,Padma/ Mahananda,Englishbazar,Malda,105.58,171.03,85.68,182.02,102.28,111.94,150.21,122.27,71.39,153.05
23,Purna,Gopalkheda,Akola,109.89,93.24,111.03,19,44.38,9.34,14.63,89.4,93.07,37.31
24,Mahi,Mataji,Ratlam,22.32,110.59,70.71,94.91,19.76,40.36,8.81,68.31,128.59,32.33
